Year,Title,Journal,Authors,Category,Endorsement
1995,Outcome And Value Uncertainties In Global-change Policy,Climatic Change,Hammitt| Jk,4,4
1995,Ozone Depletion And Its Impact On The Metal-finishing Industry .1. Background,Transactions Of The Institute Of Metal Finishing,Richards| Bp; Andrews| Dc,3,3
1995,Permafrost And Climate-change - Geotechnical Implications,Philosophical Transactions Of The Royal Society Of London Series A-mathematical Physical And Engineering Sciences,Williams| Pj,4,4
1995,Phenology And Growth Of Three Temperate Forest Life Forms In Response To Artificial Soil Warming,Journal Of Ecology,Farnsworth| Ej; Nunezfarfan| J; Careaga| Sa; Bazzaz| Fa,2,4
1995,Photosynthetic Performance Of A Helical Tubular Photobioreactor Incorporating The Cyanobacterium Spirulina-platensis,Biotechnology And Bioengineering,Watanabe| Y; Delanoue| J; Hall| Do,3,4
1995,Plant And Mammal Diversity In The Paleocene To Early Eocene Of The Bighorn Basin,Palaeogeography Palaeoclimatology Palaeoecology,Wing| Sl; Alroy| J; Hickey| Lj,5,4
1995,Possible Impacts Of Global Warming On Tundra And Boreal Forest Ecosystems: Comparison Of Some Biogeochemical Models,Journal Of Biogeography,Plochl| M; Cramer| W,2,4
1995,Possible Mechanisms Underlying Fluctuations In The Far-eastern Sardine Population Inferred From Time-series Of 2 Biological Traits,Fisheries Oceanography,Kawasaki| T; Omori| M,2,4
1995,Potential Effects Of Global Climate Warming On Brook Trout Growth And Prey Consumption In Central Appalachian Streams| Usa,Climate Research,Ries| Rd; Perry| Sa,2,4
1995,Potential Effects Of Global Climatic-change On The Phenology And Yield Of Maize In Venezuela,Climatic Change,Maytin| Ce; Acevedo| Mf; Jaimez| R; Andressen| R; Harwell| Ma; Robock| A; Azocar| A,2,3
1995,Potential Impact Of Global Climate-change On Malaria Risk,Environmental Health Perspectives,Martens| Wjm; Niessen| Lw; Rotmans| J; Jetten| Th; Mcmichael| Aj,2,2
1995,Potential Impacts Of Climatic-change On Natural Forests And Forestry In Brazilian Amazonia,Forest Ecology And Management,Fearnside| Pm,2,4
1995,Potential Impacts Of Global Warming On The Frequency And Magnitude Of Heavy Precipitation,Natural Hazards,Fowler| Am; Hennessy| Kj,2,3
1995,Potential Shifts In Optimum Growth Areas Of Selected Commercial Tree Species And Subtropical Crops In Southern Africa Due To Global Warming,Journal Of Biogeography,Schulze| Re; Kunz| Rp,2,4
1995,Potentialities| Uncertainties And Complexities In The Response Of Coral-reefs To Future Sea-level Rise,Earth Surface Processes And Landforms,Spencer| T,2,4
1995,Practice And Progress In Integrated Assessments Of Climate-change - A Workshop Overview,Energy Policy,Toth| Fl,4,4
1995,Precision Global Temperatures From Satellites And Urban Warming Effects Of Non-satellite Data,Atmospheric Environment,Christy| Jr; Goodridge| Jd,4,5
1995,Predicting The Effects Of Climate-change On Fire Frequency In The Southeastern Canadian Boreal Forest,Water Air And Soil Pollution,Bergeron| Y; Flannigan| Md,2,3
1995,Production And Selection Of Somaclonal Variants Of Leucaena-leucocephala With High-carbon Dioxide Assimilating Potential,Energy Conversion And Management,Saradhi| Pp; Alia,3,3
1995,Radiative Effects And Halocarbon Global Warming Potentials Of Replacement Compounds For Chlorofluorocarbons,Journal Of The Meteorological Society Of Japan,Imasu| R; Suga| A; Matsuno| T,3,2
1995,Radiative Forcing Of Climate By Hydrochlorofluorocarbons And Hydrofluorocarbons,Journal Of Geophysical Research-atmospheres,Pinnock| S; Hurley| Md; Shine| Kp; Wallington| Tj; Smyth| Tj,4,4
1995,Radiocarbon Ages On Organics From Piedmont Alluvium| Ajo Mountains| Arizona,Physical Geography,Pohl| Mm,5,4
1995,Reducing The Formation Of Carbon Oxides In The Production Of C-2 Hydrocarbons From Methane,Journal Of Hazardous Materials,Kim| Sc; Erickson| Le; Yu| Ey,3,3
1995,Remote-sensing Of Volcanos And Their Role In The Global Climate-change,Natural Hazards: Monitoring And Assessment Using Remote Sensing Technique,Gregori| Gp,4,4
1995,Research Of Arid-land Afforestation Technologies For Carbon-dioxide Fixation,Energy Conversion And Management,Ozawa| H; Okabayashi| T; Komiyama| H; Kaya| Y,3,3
1995,Responses Of Black Spruce Seedlings To Simulated Present Versus Future Seedbed Environments,Canadian Journal Of Forest Research-revue Canadienne De Recherche Forestiere,Wang| Zm; Lechowicz| Mj; Potvin| C,2,3
1995,Review And Synthesis,Philosophical Transactions Of The Royal Society Of London Series A-mathematical Physical And Engineering Sciences,Unsworth| Mh,4,4
1995,Road Map Or False Trail? Evaluating The ''precedence'' Of The Ozone Regime As A Model And Strategy For Global Climate Change,International Environmental Affairs,Downie| Dl,3,3
1995,Role Of Russian Forests In The Global Carbon Balance,Ambio,Kolchugina| Tp; Vinson| Ts,3,3
1995,Scenario Analysis Of Global Warming Using The Asian-pacific Integrated Model (aim),Energy Policy,Matsuoka| Y; Kainuma| M; Morita| T,2,2
1995,Scenarios For Mitigating Greenhouse Gases Emissions And Promoting Sustainable Energy Development In Brazil,Interciencia,Larovere| El,3,3
1995,Sea-level Rise - A Review Of Recent Past And Near-future Trends,Earth Surface Processes And Landforms,Gornitz| V,2,4
1995,Seasonality Of Flowering And Fruiting In Temperate Forest Trees,Canadian Journal Of Botany-revue Canadienne De Botanique,Lechowicz| Mj,2,4
1995,Sedimentary Records Of Recent Environmental-change In Lake Baikal| Siberia,Holocene,Flower| Rj; Mackay| Aw; Rose| Nl; Boyle| Jl; Dearing| Ja; Appleby| Pg; Kuzmina| Ae; Granina| Lz,2,4
1995,Sensitivity Of 4 Wheat Simulation-models To Climate-change,Canadian Journal Of Plant Science,Toure| A; Major| Dj; Lindwall| Cw,2,3
1995,Sensitivity Of A Prairie Wetland To Increased Temperature And Seasonal Precipitation Changes,Water Resources Bulletin,Poiani| Ka; Johnson| Wc; Kittel| Tgf,2,4
1995,Sensitivity Of Direct Global Warming Potentials To Key Uncertainties,Climatic Change,Wuebbles| Dj; Jain| Ak; Patten| Ko; Grant| Ke,4,2
1995,Sensitivity Of Inner Mongolia Grasslands To Climate Change,Journal Of Biogeography,Xiao| X; Ojima| Ds; Parton| Wj; Chen| Z; Chen| D,2,3
1995,Sensitivity Of Transient Eddies To Climate Change In The Ccc General Circulation Model,Atmosphere-ocean,Gutowski| Wj; Nendick| Pc; Branscome| Le,4,3
1995,Sensitivity To Prescribed Changes In Sea-surface Temperature And Sea-ice In Doubled Carbon-dioxide Experiments,Climate Dynamics,Timbal| B; Mahfouf| Jf; Royer| Jf; Cariolle| D,2,3
1995,Severe Convective Weather In The Context Of A Nighttime Global Warming,Geophysical Research Letters,Dessens| J,2,4
1995,Simple Carbon Assimilation Response Functions From Atmospheric Co2| And Daily Temperature And Shortwave Radiation,Global Change Biology,Wilks| Ds; Wolfe| Dw; Riha| Sj,2,3
1995,Simulation Studies On Risk Analysis Of Rice Leaf Blast Epidemics Associated With Global Climate Change In Several Asian Countries,Journal Of Biogeography,Luo| Y; Tebeest| Do; Teng| Ps; Fabellar| Ng,2,4
1995,Simultaneous Effects Of Nighttime Temperature And An Allelochemical On Performance Of An Insect Herbivore,Oecologia,Yang| Yl; Stamp| Ne,2,4
1995,Solar Hydrogen Electricity-generation In The Context Of Global Co-2 Emission Reduction,Climatic Change,Harvey| Ldd,3,4
1995,State Roles In The Global Climate-change Issue,Bulletin Of The American Meteorological Society,Changnon| Sa,3,3
1995,Statistics For Environmental-change,Experimental Agriculture,Barnett| V; Riley| J,4,4
1995,Surface Field Convection During Cordilleran Extension And The Generation Of Metamorphic Co2 Contributions To Cenozoic Atmospheres,Geology,Nesbitt| Be; Mendoza| Ca; Kerrick| Dm,5,3
1995,Sustainable Development In Indonesia - A Case-study Of An Indigenous Regime Of Environmental-law And Policy,International Journal Of Sustainable Development And World Ecology,Basiago| Ad,3,3
1995,Synoptic Scale Disturbances Of The Indian Summer Monsoon As Simulated In A High Resolution Climate Model,Climate Research,Lal| M; Bengtsson| L; Cubasch| U; Esch| M; Schlese| U,2,3
1995,System For Countermeasures Of Carbon-dioxide,Energy Conversion And Management,Yanagisawa| Y,3,3
1995,System-analysis Of Co2 Removal From Thermal Electric-power Plants And Storage In Deep-sea,Energy Conversion And Management,Matsumoto| S; Yanagisawa| Y; Inaba| A,3,3
1995,Tackling Air Pollution: The Role Of The Local Highway Authority,Proceedings Of The Institution Of Civil Engineers-municipal Engineer,Waterhouse| E,4,4
1995,Technical Progress And Climatic-change,Energy Policy,Ausubel| Jh,3,3
1995,Temperature And Lake-outlet Communities,Journal Of Thermal Biology,Wotton| Rs,2,4
1995,Temperature Effects Of Passive Greenhouse Apparatus In High-latitude Climate-change Experiments,Functional Ecology,Kennedy| Ad,4,4
1995,Temperature Effects On Kinetics Of Microbial Respiration And Net Nitrogen And Sulfur Mineralization,Soil Science Society Of America Journal,Macdonald| Nw; Zak| Dr; Pregitzer| Ks,2,4
1995,Temperature-gradient Chambers For Research On Global Environment Change .3. A System Designed For Rice In Kyoto| Japan,Plant Cell And Environment,Horie| T; Nakagawa| H; Nakano| J; Hamotani| K; Kim| Hy,4,3
1995,The Antares Ams Centre: A Status Report,Radiocarbon,Tuniz| C; Fink| D; Hotchkis| M; Jacobsen| G; Lawson| E; Smith| A; Hua| Q; Drewer| P; Lee| P; Levchenko| V; Bird| R; Boldeman| J; Barbetti| M; Taylor| G; Head| J,4,4
1995,The Arctic Flux Study: A Regional View Of Trace Gas Release,Journal Of Biogeography,Weller| G; Chapin| Fs; Everett| Kr; Hobbie| Je; Kane| D; Oechel| Wc; Ping| Cl; Reeburgh| Ws; Walker| D; Walsh| J,2,3
1995,The Boreal Forests Of North-eastern Eurasia,Vegetatio,Grishin| Sy,2,4
1995,The Comparative Air Emissions Of Diesel-fueled And Compressed-natural-gas-fueled Buses In Venezuela - A Case-study Employing A Fuel Chain Approach,Interciencia,Hill| Dg; Villanueva| La,3,4
1995,The Consequences Of Global Warming For Stream Invertebrates - A Field Simulation,Journal Of Thermal Biology,Hogg| Id; Williams| Dd; Eadie| Jm; Butt| Sa,2,4
1995,The Ecology Of Mangrove Conservation And Management,Hydrobiologia,Ong| Je,2,4
1995,The Economics Of Stabilizing Atmospheric Co2 Concentrations,Energy Policy,Richels| R; Edmonds| J,3,4
1995,The Effect Of Clouds And Wind On The Difference In Nocturnal Cooling Rates Between Urban And Rural-areas,Journal Of Applied Meteorology,Kidder| Sq; Essenwanger| Om,2,4
1995,The Effects Of Anthropogenic Habitat Disturbance| Habitat Destruction| And Global Warming On Shallow Marine Benthic Foraminifera,Journal Of Foraminiferal Research,Culver| Sj; Buzas| Ma,2,4
1995,The Expected Greenhouse Benefits From Developing Magma Power At Long Valley| California,International Journal Of Energy Research,Haraden| J,3,4
1995,The Full Fuel-cycle Of Co2 Capture And Disposal .3. Afforestation| And Environmental Impacts,Energy Conversion And Management,Holland| Mr; Berry| Je; Johnson| Cj,3,3
1995,The Future-role Of Nuclear-power In Addressing Global Environmental-problems,International Journal Of Pressure Vessels And Piping,Stumpf| W,3,4
1995,The Human Bioclimates Of Western And South-pacific Islands And Climate-change,International Journal Of Biometeorology,Mcgregor| Gr,2,4
1995,The Impact Of Climate-change On Maritime Local-authorities - Drainage Aspects,Proceedings Of The Institution Of Civil Engineers-municipal Engineer,Shaladan| Mj; Riley| Mj; Tosswell| P,2,4
1995,The Impact Of Climate-change On The River Rhine - A Scenario Study,Climatic Change,Kwadijk| J; Rotmans| J,2,2
1995,The Impact Of Global Warming On Local Incomes From Range Livestock Systems,Agricultural Systems,Eckert| Jb; Baker| Bb; Hanson| Jd,2,4
1995,The Influence Of Elevated Co2 On Community Structure| Biomass And Carbon Balance Of Mediterranean Old-field Microcosms,Global Change Biology,Navas| Ml; Guillerm| Jl; Fabreguettes| J; Roy| J,2,4
1995,The Influence Of Rising Background Temperature On The Effects Of Marine Thermal Effluents,Journal Of Thermal Biology,Bamber| Rn,2,4
1995,The Pole Of Sea-ice In 2x Co2 Climate Model Sensitivity .1. The Total Influence Of Sea-ice Thickness And Extent,Journal Of Climate,Rind| D; Healy| R; Parkinson| C; Martinson| D,2,3
1995,The Potential Effects Of Climate-change On Winter Mortality In England And Wales,International Journal Of Biometeorology,Langford| Ih; Bentham| G,2,4
1995,The Potential Impact Of Global Warming On Summer/autumn Cauliflower Growth In The Uk,Agricultural And Forest Meteorology,Wurr| Dce; Fellows| Jr; Hambidge| Aj,2,4
1995,The Quality-control Of Long-term Climatological Data Using Objective Data-analysis,Journal Of Applied Meteorology,Eischeid| Jk; Baker| Cb; Karl| Tr; Diaz| Hf,4,4
1995,The Role Of Co2 Removal And Disposal,Energy Conversion And Management,Kaya| Y,3,3
1995,The Sunda And Sahul Continental Platform - Lost Land Of The Last Glacial Continent In Se Asia,Quaternary International,Hantoro| Ws; Faure| H; Djuwansah| R; Fauredenard| L,5,4
1995,The Temperature-dependence Of Soil Organic-matter Decomposition| And The Effect Of Global Warming On Soil Organic-c Storage,Soil Biology & Biochemistry,Kirschbaum| Muf,4,4
1995,The Use Of Microalgae For Assimilation And Utilization Of Carbon-dioxide From Fossil Fuel-fired Power-plant Flue-gas,Energy Conversion And Management,Zeiler| Kg; Heacox| Da; Toon| St; Kadam| Kl; Brown| Lm,3,2
1995,Thermal Skin-effect And The Air-sea Flux Of Carbon-dioxide - A Seasonal High-resolution Estimate,Global Biogeochemical Cycles,Vanscoy| Ka; Morris| Kp; Robertson| Je; Watson| Aj,2,3
1995,Thermally Anomalous Assemblages Revisited - Patterns In The Extraprovincial Latitudinal Range Shifts Of Pleistocene Marine Mollusks,Geology,Roy| K; Jablonski| D; Valentine| Jw,5,4
1995,Third-world Debt And Tropical Deforestation,Ecological Economics,Kahn| Jr; Mcdonald| Ja,3,4
1995,Time-domain Analysis Of Sofar Propagation In Low-latitude Sea Area By Wave Theory And Ray Theory,Japanese Journal Of Applied Physics Part 1-regular Papers Short Notes & Review Papers,Imayoshi| S; Tsuchiya| T; Kikuchi| T; Hasegawa| A,4,4
1995,Toxicological Properties Of Halon Substitutes,Halon Replacements: Technology And Science,Skaggs| Sr; Moore| Ta; Tapscott| Re,3,4
1995,Trees Differ From Crops And From Each Other In Their Responses To Increases In Co2 Concentration,Journal Of Biogeography,Lee| Hsj; Jarvis| Pg,2,4
1995,Trends Of Southern African Sea Level: Statistical Analysis And Interpretation,South African Journal Of Marine Science-suid-afrikaanse Tydskrif Vir Seewetenskap,Brundrit| Gb,2,4
1995,Tropical Interannual Variability In A Global Coupled Gcm - Sensitivity To Mean Climate State,Journal Of Climate,Moore| Am,4,4
1995,Tropical Seasonal Forests In Monsoon Asia: With Emphasis On Continental Southeast Asia,Vegetatio,Ruangpanit| N,4,2
1995,Twentieth-century Variability In Snow-cover Conditions And Approaches To Detecting And Monitoring Changes: Status And Prospects,Progress In Physical Geography,Barry| Rg; Fallot| Jm; Armstrong| Rl,4,3
1995,Us Country Studies Program: An Example Of Bilateral Assistance To Developing Countries On Climate Change,Ocean & Coastal Management,Huang| Jck; Dixon| Rk,3,3
1995,Variations And Trends In Annual Mean Air Temperatures In Turkey With Respect To Climatic Variability,International Journal Of Climatology,Turkes| M; Sumer| Um; Kilic| G,4,4
1995,Water Chemistry And Periphyton In An Alpine Wetland,Hydrobiologia,Toetz| D,2,4
1995,Water-quality Management - Can We Improve Integration To Face Future-problems,Water Science And Technology,Somlyody| L,2,4
1995,Water-vapor Feedback Over The Arctic-ocean,Journal Of Geophysical Research-atmospheres,Curry| Ja; Schramm| Jl; Serreze| Mc,2,3
1995,Wimovac - A Software Package For Modeling The Dynamics Of Plant Leaf And Canopy Photosynthesis,Computer Applications In The Biosciences,Humphries| Sw; Long| Sp,4,4
1995,Zero Odp| Zero Gwp| Halogen-free| And Low K-factor Azeotropes As Blowing Agents For Isocyanate-based Foams,Journal Of Cellular Plastics,Ashida| K; Morimoto| K; Yufu| A,3,4
1995,Zero-odp Rigid Insulation Foams Prepared With Hfas,Journal Of Cellular Plastics,Yuhallada| Lc; Reicheal| Cj,3,4
1996,A Fuzzy Rule-based Approach To Drought Assessment,Water Resources Research,Pesti| G; Shrestha| Bp; Duckstein| L; Bogardi| I,2,3
1996,A Mechanistic Model For Submerged Aquatic Macrophyte Photosynthesis: Hydrilla In Ambient And Elevated Co2,Ecological Modelling,Chen| Dx; Coughenour| Mb,2,4
1996,A Method For Monitoring Long-term Population Trends: An Example Using Rare Arctic-alpine Plants,Ecological Applications,Lesica| P; Steele| Bm,2,4
1996,A Multinational Model For Co2 Reduction - Defining Boundaries Of Future Co2 Emissions In Nine Countries,Energy Policy,Kram| T; Hill| D,3,4
1996,A Preliminary Comparative Study Of Three Manure Composting Systems And Their Influence On Process Parameters And Methane Emissions,Compost Science & Utilization,Lopezreal| J; Baptista| M,3,4
1996,A Simplified Climate Model With Combined Atmospheric-hydrological Processes,Hydrological Sciences Journal-journal Des Sciences Hydrologiques,Nakatsugawa| M; Anderson| M; Kavvas| Ml,2,3
1996,A Statistical Method For Separating Urban Effect Trends From Observed Temperature Data And Its Application To Japanese Temperature Records,Journal Of The Meteorological Society Of Japan,Kato| H,4,4
1996,A Welfare-based Index For Assessing Environmental Effects Of Greenhouse-gas Emissions,Nature,Hammitt| Jk; Jain| Ak; Adams| Jl; Wuebbles| Dj,4,3
1996,Accelerating Ground Warming In The Canadian Prairie Provinces: Is It A Result Of Global Warming?,Pure And Applied Geophysics,Majorowicz| Ja,4,4
1996,Adapting To Sea-level Rise: Relative Sea-level Trends To 2100 For The United States,Coastal Management,Nicholls| Rj; Leatherman| Sp,2,2
1996,Alternatives To Slash-and-burn: A Global Imperative,Agriculture Ecosystems & Environment,Brady| Nc,3,4
1996,Amazonian Deforestation And Global Warming: Carbon Stocks In Vegetation Replacing Brazil's Amazon Forest,Forest Ecology And Management,Fearnside| Pm,3,4
1996,An Inventory Of Greenhouse Gas Emissions In Bangladesh: Initial Results,Ambio,Uddin| A; Islam| Ak; Reazuddin| M,3,3
1996,An Inventory-based Procedure To Estimate Economic Costs Of Forest Management On A Regional Scale To Conserve And Sequester Atmospheric Carbon,Ecological Economics,Lewis| Dk; Turner| Dp; Winjum| Jk,3,3
1996,An Overview Of Recent Technical Developments In Polyurethanes .1. General Introduction And Substitutes For Chlorofluorocarbons (cfcs) And Their Applications,Polimery,Frisch| Kc,3,4
1996,Appearance In Hungary Of Cephalosporium Maydis Samra| Sabet And Hingorani| Causing Late Milt Disease In Maize,Novenytermeles,Pecsi| S,2,4
1996,Assessment Of The Costs Of Global Warming On A Full Fuel Cycle Basis,Energy Conversion And Management,Holland| Mr; Eyre| Nj; Downing| Te,4,3
1996,Atmospheric Fate And Greenhouse Warming Potentials Of Hfc 236fa And Hfc 236ea,Journal Of Geophysical Research-atmospheres,Gierczak| T; Talukdar| Rk; Burkholder| Jb; Portmann| Rw; Daniel| Js; Solomon| S; Ravishankara| Ar,4,4
1996,Barriers To Energy Efficiency In Vehicle Design,International Journal Of Vehicle Design,Groenewegen| P; Potter| S,3,4
1996,Biodiversity And Industry Ecosystem Management,Environmental Management,Coleman| Wg,4,4
1996,Breeding Plans In Case Of Global Warming,Euphytica,Koski| V,2,4
1996,C-14 Dating And Soil Organic Matter Dynamics In Arctic And Subarctic Ecosystems,Radiocarbon,Cherkinsky| Ae,2,4
1996,Carbon Dioxide Production From Co-generation For Enhanced Oil Recovery: An Economic Evaluation,Journal Of Canadian Petroleum Technology,Tontiwachwuthikul| P; Kritpiphat| W; Gelowitz| D,3,2
1996,Carbon Dioxide Production From Coal-fired Power Plants For Enhanced Oil Recovery: A Feasibility Study In Western Canada,Energy,Tontiwachwuthikul| P; Chan| Cw; Kritpiphat| W; Jordan| C; Skoropad| D; Gelowitz| D; Aroonwilas| A; Mourits| F; Wilson| M; Ward| L,3,4
1996,Carbon Mobilization From The Forest Floor Under Red Spruce In The Northeastern Usa,Soil Biology & Biochemistry,Godde| M; David| Mb; Christ| Mj; Kaupenjohann| M; Vance| Gf,2,4
1996,Carbon Uptake By Secondary Forests In Brazilian Amazonia,Forest Ecology And Management,Fearnside| Pm; Guimaraes| Wm,4,3
1996,Carbon Use In Root Respiration As Affected By Elevated Atmospheric O-2,Plant And Soil,Lambers| H; Stulen| I; Vanderwerf| A,2,2
1996,Changing Probabilities Of Daily Temperature Extremes In The Uk Related To Future Global Warming And Changes In Climate Variability,Climate Research,Barrow| Em; Hulme| M,2,2
1996,Climate Change Impacts On Us Commercial Building Energy Consumption: An Analysis Using Sample Survey Data,Energy Sources,Belzer| Db; Scott| Mj; Sands| Rd,2,4
1996,Climate Change In Asia: A Review Of The Vulnerability And Adaptation Of Crop Production,Water Air And Soil Pollution,Iglesias| A; Erda| L; Rosenzweig| C,2,3
1996,Climate Change| Water Stress| And Fast Forest Response: A Sensitivity Study,Climatic Change,Martin| Ph,2,4
1996,Climatic Effect Of Water Vapor Release In The Upper Troposphere,Journal Of Geophysical Research-atmospheres,Rind| D; Lonergan| P; Shah| K,2,3
1996,Climatic Trends From Isotopic Records Of Tree Rings: The Past 100-200 Years,Climatic Change,Feng| Xh; Epstein| S,2,3
1996,Climatic Warming And The Degradation Of Warm Permafrost,Permafrost And Periglacial Processes,Lunardini| Vj,2,4
1996,Coal Fuel Cycle Externalities Estimates (part Of The Us Initiative Of The Us Doe/cec Study),Energy Conversion And Management,Saroff| L,4,4
1996,Comparison Of Sap Flow| Cavitation And Water Status Of Quercus Petraea And Quercus Cerris Trees With Special Reference To Computer Tomography,Plant Cell And Environment,Tognetti| R; Raschi| A; Beres| C; Fenyvesi| A; Ridder| Hw,2,4
1996,Control Of Rumen Methanogenesis,Environmental Monitoring And Assessment,Vannevel| Cj; Demeyer| Di,3,3
1996,Controls On Ch4 Flux From An Alaskan Boreal Wetland,Global Biogeochemical Cycles,Moosavi| Sc; Crill| Pm; Pullman| Er; Funk| Dw; Peterson| Km,2,3
1996,Converting Terrestrial Ecosystems From Sources To Sinks Of Carbon,Ambio,Houghton| Ra,3,3
1996,Correlation Between Egg Size And Clutch Size In The Pied Flycatcher Ficedula Hypoleuca In Cold And Warm Summers,Ibis,Jarvinen| A,2,4
1996,Cross-scale Relationships Regarding Local Temperature Inversions At Cape Town And Global Climate Change Implications,South African Journal Of Science,Shannon| Da; Hewitson| Bc,2,4
1996,Detecting Discontinuities In Time Series Of Upper-air Data: Development And Demonstration Of An Adaptive Filter Technique,Journal Of Climate,Zurbenko| I; Porter| Ps; Rao| St; Ku| Jy; Gui| R; Eskridge| Re,4,4
1996,Development Of A Risk-hedging Co2-emission Policy .2. Risks Associated With Measures To Limit Emissions| Synthesis| And Conclusions,Climatic Change,Harvey| Ldd,3,3
1996,Development Of A Water Temperature-ecological Model To Stimulate Global Warming Effects On Lake Ecosystem,Water Science And Technology,Hosomi| M; Saigusa| T; Yabunaka| K; Okubo| T; Murakami| A,2,4
1996,Differential Responses Of Root Uptake Kinetics Of Nh4+ And No3- To Enriched Atmospheric Co2 Concentration In Field-grown Loblolly Pine,Plant Cell And Environment,Bassirirad| H; Thomas| Rb; Reynolds| Jf; Strain| Br,2,3
1996,Discounting And Distributional Considerations In The Context Of Global Warming,Ecological Economics,Azar| C; Sterner| T,3,3
1996,Discounting Of Long-term Costs: What Would Future Generations Prefer Us To Do?,Ecological Economics,Rabl| A,3,4
1996,District Heating & Cooling Systems Of The Future: Strategies For Global Change,Energy Engineering,Mccabe| Re,3,4
1996,Downscaling Two Versions Of A General Circulation Model To Estimate Local Hydroclimatic Factors Under Climate Change,Hydrological Sciences Journal-journal Des Sciences Hydrologiques,Matyasovszky| I; Bogardi| I,2,4
1996,Economic Implications And Decision-making In The Face Of Global Warming,International Environmental Affairs,Ekins| P,3,3
1996,Economics| Ethics| And Climate Policy: Framing The Debate,Global And Planetary Change,Howarth| Rb; Monahan| Pa,4,3
1996,Ecotypic Differences In The Flowering Of Pimelea Ferruginea (thymelaeaceae) In Response To Cool Temperatures,Australian Journal Of Botany,King| Rw; Pate| Js; Johnston| J,2,4
1996,Effect Of Changing Temperature And Water Table On Trace Gas Emission From Minerotrophic Mires,Journal Of Applied Botany-angewandte Botanik,Augustin| J; Merbach| W; Schmidt| W; Reining| E,2,3
1996,Effect Of Forest Drainage On The Carbon Balance Of A Mire: A Case Study,Scandinavian Journal Of Forest Research,Laine| J; Minkkinen| K,3,4
1996,Effects Of Alternative Cloud Radiation Parameterizations In A General Circulation Model,Annales Geophysicae-atmospheres Hydrospheres And Space Sciences,Lee| Wh; Somerville| Rcj,4,4
1996,Effects Of Changes In Minimum And Maximum Temperature On Wheat Yields In The Central Us - A Simulation Study,Agricultural And Forest Meteorology,Rosenzweig| C; Tubiello| Fn,2,4
1996,Effects Of Co2 Concentration On The Photosynthetic And Carboxylation Efficiencies Of Fagus Crenata And Quercus Crispula,Photosynthetica,Liang| N; Maruyama| K; Huang| Y,2,4
1996,Effects Of Elevated Co2 Concentration And Climate-warming On Photosynthesis During Winter In Lolium Perenne,Journal Of Experimental Botany,Nijs| I; Impens| I,2,4
1996,Effects Of Elevated Co2 Concentration And High Temperature On Growth And Yield Of Rice,Japanese Journal Of Crop Science,Kim| Hy; Horie| T; Nakagawa| H; Wada| K,2,4
1996,Effects Of Elevated Summer Temperatures And Reduced Ph On Metabolism And Growth Of Juvenile Rainbow Trout (oncorhynchus Mykiss) On Unlimited Ration,Canadian Journal Of Fisheries And Aquatic Sciences,Dockray| Jj; Reid| Sd; Wood| Cm,2,4
1996,Effects Of Enhanced Solar Uv-b Radiation On Phytoplankton,Scientia Marina,Hader| Dp,2,3
1996,Effects Of N Management On N2o And Ch4 Fluxes And N-15 - Recovery In An Irrigated Mountain Meadow,Nutrient Cycling In Agroecosystems,Delgado| Ja; Mosier| Ar; Follett| Rh; Follett| Rf; Westfall| Dg; Klemedtsson| Lk; Vermeulen| J,3,3
1996,Efficient Electrical End-use Technologies For Mitigating Greenhouse Gas Emissions In Africa,Energy Sources,Decastro| A; Rahman| S,3,3
1996,El Nino-like Climate Change In A Model With Increased Atmospheric Co2 Concentrations,Nature,Meehl| Ga; Washington| Wm,2,3
1996,Energy Demand And Supply In Metropolitan New York With Global Climate Change,Baked Apple?: Metropolitan New York In The Greenhouse,Morris| Sc; Goldstein| Ga; Sanghi| A; Hill| D,4,4
1996,Environmental And Endocrine Control Of Reproduction In Two Species Of Polychaete: Potential Bio-indicators For Global Climate Exchange,Journal Of The Marine Biological Association Of The United Kingdom,Lawrence| Aj,2,4
1996,Environmental And Health Benefits Of District Cooling Using Utility-based Cogeneration In Ontario| Canada,Energy,Hart| Dr; Rosen| Ma,3,4
1996,Environmental Impact Of Biomethanogenesis,Environmental Monitoring And Assessment,Chynoweth| Dp,3,4
1996,Environmental Integrity| Racism And Health,Science Of The Total Environment,Westra| L,3,4
1996,Environmental Life Cycle Analyses Of Transport Systems,International Journal Of Vehicle Design,Adams| Vw,3,4
1996,Environmental Protection In The Electronic And Electrical Industries,Journal Of Materials Processing Technology,Ochiai| I,3,3
1996,Equilibrium And Transient Global| Warming Scenario Implications For Water Resources In Wales,Water Resources Bulletin,Holt| Cp; Jones| Jaa,2,4
1996,Estimates Of Indirect Global Warming Potentials For Ch4| Co And Nox,Climatic Change,Fuglestvedt| Js; Isaksen| Isa; Wang| Wc,2,3
1996,Estimating Daily Wind Speed Under Climate Change,Solar Energy,Bogardi| I; Matyasovszky| I,2,4
1996,Estimation Of Areal Flux Of Atmospheric Methane In An Urban Area Of Nagoya| Japan| Inferred From Atmospheric Radon-222 Data,Atmospheric Environment,Moriizumi| J; Nagamine| K; Iida| T; Ikebe| Y,4,4
1996,Evaluating Eolian-climatic Interactions Using A Regional Climate Model From Hanford| Washington (usa),Geomorphology,Stetler| Ld; Gaylord| Dr,2,4
1996,Extinctions Of Montane Mammals Reconsidered: Putting A Global-warming Scenario On Ice,Biodiversity And Conservation,Skaggs| Rw; Boecklen| Wj,2,4
